gene_name,role
SNCA,Alpha-synuclein
LRRK2,Leucine-rich repeat kinase 2
PINK1,PTEN-induced kinase 1
PARK7,Protein deglycase DJ-1
PRKN,Parkin
UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1
